"ISBN;""Book-Title"";""Book-Author"";""Year-Of-Publication"";""Publisher"";""Image-URL-S"";""Image-URL-M"";""Image-URL-L"""
"0064472779;""All-American Girl"";""Meg Cabot"";""2003"";""HarperTrophy"";""http://images.amazon.com/images/P/0064472779.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0064472779.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0064472779.01.LZZZZZZZ.jpg"""
"0553581279;""The Silver Metal Lover"";""Tanith Lee"";""1999"";""Spectra Books"";""http://images.amazon.com/images/P/0553581279.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0553581279.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0553581279.01.LZZZZZZZ.jpg"""
"0373750013;""The Virgin's Secret Marriage   The Brides Of Holly Springs (Harlequin American Romance"," No. 997)"";""Cathy Gillen Thacker"";""2003"";""Harlequin"";""http://images.amazon.com/images/P/0373750013.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0373750013.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0373750013.01.LZZZZZZZ.jpg"""
"0393030342;""A Christmas Story"";""Richard Burton"";""1991"";""W W Norton &amp; Co Inc"";""http://images.amazon.com/images/P/0393030342.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0393030342.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0393030342.01.LZZZZZZZ.jpg"""
"0553561618;""Dark Paradise"";""TAMI HOAG"";""1994"";""Bantam"";""http://images.amazon.com/images/P/0553561618.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0553561618.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0553561618.01.LZZZZZZZ.jpg"""
"0312422156;""Middlesex: A Novel"";""Jeffrey Eugenides"";""2003"";""Picador"";""http://images.amazon.com/images/P/0312422156.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0312422156.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0312422156.01.LZZZZZZZ.jpg"""
"0425139069;""Somebody Help Me"";""Beverly Hastings"";""1993"";""Berkley Publishing Group"";""http://images.amazon.com/images/P/0425139069.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0425139069.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0425139069.01.LZZZZZZZ.jpg"""
"0450029956;""Other worlds: The comical history of the states and empires of the moon and sun (Science fiction master series)"";""Cyrano de Bergerac"";""1976"";""New English Library"";""http://images.amazon.com/images/P/0450029956.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0450029956.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0450029956.01.LZZZZZZZ.jpg"""
"0130139165;""Introduction to Fire Prevention (5th Edition)"";""James C. Robertson"";""2000"";""Pearson Education"";""http://images.amazon.com/images/P/0130139165.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0130139165.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0130139165.01.LZZZZZZZ.jpg"""
"0373196741;""To Catch A Sheik  (Desert Brides)"";""Teresa Southwick"";""2003"";""Silhouette"";""http://images.amazon.com/images/P/0373196741.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0373196741.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0373196741.01.LZZZZZZZ.jpg"""
